id,name,email,phone,dob,salary
53,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
54,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
55,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
56,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
57,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
58,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
59,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
60,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
61,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
62,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
63,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
64,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
65,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
66,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
67,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
68,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
69,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
70,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
71,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
72,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
73,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
74,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
75,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
76,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
77,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
78,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
79,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
80,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
81,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
82,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
83,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
84,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
85,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
86,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
87,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
88,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
89,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
90,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
91,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
92,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
93,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
94,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
95,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
96,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
97,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
98,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
99,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
100,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
